x,model_index,model,subject_group,mean_auc,n_test_appearances
0.874,1,PSD+LDA,chb01/chb21,0.562131595744406,4
0.886,1,PSD+LDA,chb02,0.6594950213371267,1
0.898,1,PSD+LDA,chb03,0.4767148991902477,3
0.910,1,PSD+LDA,chb04,0.36415392990021983,2
0.922,1,PSD+LDA,chb05,0.5713397129186604,5
0.934,1,PSD+LDA,chb06,0.4864125133984503,1
0.946,1,PSD+LDA,chb07,0.38316673154636116,4
0.958,1,PSD+LDA,chb08,0.6043384934230005,6
0.970,1,PSD+LDA,chb09,0.5737824518066454,1
0.982,1,PSD+LDA,chb10,0.7270169655290006,2
0.994,1,PSD+LDA,chb11,0.5100047940406387,5
1.006,1,PSD+LDA,chb12,0.3949396352427434,2
1.018,1,PSD+LDA,chb13,0.6195696138877957,4
1.030,1,PSD+LDA,chb14,0.48793493857053183,4
1.042,1,PSD+LDA,chb15,0.4366944498287782,3
1.054,1,PSD+LDA,chb16,0.6413199616939774,8
1.066,1,PSD+LDA,chb17,0.5097424347424347,6
1.078,1,PSD+LDA,chb18,0.3771097402013664,3
1.090,1,PSD+LDA,chb19,0.3522458538083538,5
1.102,1,PSD+LDA,chb20,0.3182525634765625,3
1.114,1,PSD+LDA,chb22,0.4566615008699455,5
1.126,1,PSD+LDA,chb23,0.5391128833751785,3
1.874,2,EEGNet,chb01/chb21,0.47630034911996444,4
1.886,2,EEGNet,chb02,0.4678955271060534,1
1.898,2,EEGNet,chb03,0.32537433727505133,3
1.910,2,EEGNet,chb04,0.32739435354304075,2
1.922,2,EEGNet,chb05,0.5640281100478469,5
1.934,2,EEGNet,chb06,0.5514932861949206,1
1.946,2,EEGNet,chb07,0.5174966633299967,4
1.958,2,EEGNet,chb08,0.5694259400245316,6
1.970,2,EEGNet,chb09,0.49014336917562723,1
1.982,2,EEGNet,chb10,0.5804047752525969,2
1.994,2,EEGNet,chb11,0.4797276616144853,5
2.006,2,EEGNet,chb12,0.6537374775237605,2
2.018,2,EEGNet,chb13,0.5413496436223709,4
2.030,2,EEGNet,chb14,0.46970675275760027,4
2.042,2,EEGNet,chb15,0.5103056147832267,3
2.054,2,EEGNet,chb16,0.6079019472228133,8
2.066,2,EEGNet,chb17,0.5467400092400093,6
2.078,2,EEGNet,chb18,0.7324057218626393,3
2.090,2,EEGNet,chb19,0.4584728194103194,5
2.102,2,EEGNet,chb20,0.5101420084635416,3
2.114,2,EEGNet,chb22,0.5394194658629574,5
2.126,2,EEGNet,chb23,0.49872003150691674,3
2.874,3,TCN,chb01/chb21,0.49551842118183953,4
2.886,3,TCN,chb02,0.340742057847321,1
2.898,3,TCN,chb03,0.28533378669386833,3
2.910,3,TCN,chb04,0.4270377505073567,2
2.922,3,TCN,chb05,0.6166402511961723,5
2.934,3,TCN,chb06,0.49036920397619754,1
2.946,3,TCN,chb07,0.5512549586623661,4
2.958,3,TCN,chb08,0.6888984054477012,6
2.970,3,TCN,chb09,0.6337244502567083,1
2.982,3,TCN,chb10,0.5475083897602298,2
2.994,3,TCN,chb11,0.5590238595714865,5
