x,model_index,model,seed,auc,window_sensitivity,specificity,fpd_per_hour
0.867,1,PSD+LDA,1024,0.5734759187824079,0.5699226985242446,0.5520149953139644,5.375820056232427
0.881,1,PSD+LDA,11111,0.6006160670280927,0.5909314933464761,0.5509554140127388,5.388535031847133
0.895,1,PSD+LDA,123,0.5755736537831491,0.789439793947199,0.2757753562447611,8.690695725062866
0.909,1,PSD+LDA,12345,0.5732736118619199,0.2930434782608695,0.8298401420959147,2.041918294849023
0.923,1,PSD+LDA,13579,0.4163322702570418,0.2160828811050814,0.7112860892388452,3.4645669291338583
0.937,1,PSD+LDA,14142,0.5566339831456649,0.7106598984771574,0.4226384364820847,6.928338762214984
0.951,1,PSD+LDA,15926,0.5078099483924116,0.4926174496644295,0.5306859205776173,5.631768953068592
0.965,1,PSD+LDA,16384,0.3661958174163873,0.3155940594059406,0.5070866141732283,5.91496062992126
0.979,1,PSD+LDA,2025,0.4952582177352268,0.2746972594008923,0.7648114901256733,2.822262118491921
0.993,1,PSD+LDA,3141,0.5069599401235302,0.5875238701464036,0.4087912087912088,7.094505494505495
1.007,1,PSD+LDA,4096,0.4892061020236762,0.3090705487122061,0.7321428571428571,3.214285714285714
1.021,1,PSD+LDA,42,0.5532620746896154,0.5120663650075414,0.5461978740801309,5.44562551103843
1.035,1,PSD+LDA,456,0.5562305023666092,0.8787650602409639,0.1449579831932773,10.260504201680671
1.049,1,PSD+LDA,5555,0.6132478647223915,0.4231103388357949,0.7013502779984114,3.5837966640190624
1.063,1,PSD+LDA,6174,0.6337505292285153,0.6480859637340497,0.553556827473426,5.357318070318888
1.077,1,PSD+LDA,7077,0.4728471881255429,0.3340635268346111,0.6681034482758621,3.982758620689655
1.091,1,PSD+LDA,789,0.6015491443847685,0.4616376531270148,0.639210347174949,4.329475833900612
1.105,1,PSD+LDA,8192,0.4815166736589072,0.2332225913621262,0.7209897610921502,3.348122866894198
1.119,1,PSD+LDA,9001,0.5350372394239404,0.1359149582384206,0.9168975069252078,0.997229916897507
